"Image type","Feature Class","Feature Name","Segmentation_segment_Segment_1"
"diagnostics","Versions","PyRadiomics","v3.1.0.post2+g146e3bd"
"diagnostics","Versions","Numpy","1.26.4"
"diagnostics","Versions","SimpleITK","2.4.0rc2.dev213"
"diagnostics","Versions","PyWavelet","1.6.0"
"diagnostics","Versions","Python","3.9.10"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}}"
"diagnostics","Image-original","Hash","a7d54bd77cd1a5a4ac305cbb8a9727195420e5f9"
"diagnostics","Image-original","Dimensionality","3D"
"diagnostics","Image-original","Spacing","(0.8984375, 0.8984374999999999, 6.250000154031852)"
"diagnostics","Image-original","Size","(208, 256, 24)"
"diagnostics","Image-original","Mean","122.45829420823317"
"diagnostics","Image-original","Minimum","0.0"
"diagnostics","Image-original","Maximum","1472.0"
"diagnostics","Mask-original","Hash","d2379a8049d07578abf3ae9d68a9576ef396d0b9"
"diagnostics","Mask-original","Spacing","(0.8984375, 0.8984374999999999, 6.250000154031852)"
"diagnostics","Mask-original","Size","(208, 256, 24)"
"diagnostics","Mask-original","BoundingBox","(71, 67, 12, 40, 36, 1)"
"diagnostics","Mask-original","VoxelNum","1149"
"diagnostics","Mask-original","VolumeNum","1"
"diagnostics","Mask-original","CenterOfMassIndex","(90.48563968668407, 83.89904264577893, 12.0)"
"diagnostics","Mask-original","CenterOfMass","(-10.421229279557423, -32.664347225937874, 37.84564941407595)"
"original","firstorder","10Percentile","426.0"
"original","firstorder","90Percentile","733.0"
"original","firstorder","Energy","369135073.0"
"original","firstorder","Entropy","4.126073523818728"
"original","firstorder","InterquartileRange","167.0"
"original","firstorder","Kurtosis","3.9588229789704"
"original","firstorder","Maximum","814.0"
"original","firstorder","MeanAbsoluteDeviation","94.2305967045927"
"original","firstorder","Mean","553.8511749347258"
"original","firstorder","Median","536.0"
"original","firstorder","Minimum","19.0"
"original","firstorder","Range","795.0"
"original","firstorder","RobustMeanAbsoluteDeviation","66.66311728968489"
"original","firstorder","RootMeanSquared","566.8036538973319"
"original","firstorder","Skewness","-0.10827465089077919"
"original","firstorder","TotalEnergy","1862263283.057293"
"original","firstorder","Uniformity","0.0681388667331717"
"original","firstorder","Variance","14515.258094790113"
"original","glcm","Autocorrelation","543.4510701782094"
"original","glcm","ClusterProminence","27784.659699579355"
"original","glcm","ClusterShade","-25.338440932455015"
"original","glcm","ClusterTendency","85.91385093834293"
"original","glcm","Contrast","4.527304117452162"
"original","glcm","Correlation","0.8996176778539895"
"original","glcm","DifferenceAverage","1.4441232103111796"
"original","glcm","DifferenceEntropy","2.2603045815781497"
"original","glcm","DifferenceVariance","2.3968383640709447"
"original","glcm","Id","0.5586815651539572"
"original","glcm","Idm","0.5127520357278276"
"original","glcm","Idmn","0.9959460727270582"
"original","glcm","Idn","0.9598981022970792"
"original","glcm","Imc1","-0.34041910014511734"
"original","glcm","Imc2","0.9671348818812959"
"original","glcm","InverseVariance","0.4410450160318217"
"original","glcm","JointAverage","22.871425515200897"
"original","glcm","JointEnergy","0.014014863409110071"
"original","glcm","JointEntropy","6.80396626526287"
"original","glcm","MCC","0.9261885091338442"
"original","glcm","MaximumProbability","0.05291501208532171"
"original","glcm","SumAverage","45.74285103040179"
"original","glcm","SumEntropy","5.019693254885995"
"original","glcm","SumSquares","22.610288763948766"
"original","gldm","DependenceEntropy","6.476692975268125"
"original","gldm","DependenceNonUniformity","205.58485639686685"
"original","gldm","DependenceNonUniformityNormalized","0.17892502732538454"
"original","gldm","DependenceVariance","2.697895244739248"
"original","gldm","GrayLevelNonUniformity","78.29155787641427"
"original","gldm","GrayLevelVariance","23.275510320019453"
"original","gldm","HighGrayLevelEmphasis","537.4873803307223"
"original","gldm","LargeDependenceEmphasis","12.324630113141863"
"original","gldm","LargeDependenceHighGrayLevelEmphasis","7009.468233246301"
"original","gldm","LargeDependenceLowGrayLevelEmphasis","0.026936413509838157"
"original","gldm","LowGrayLevelEmphasis","0.0035981465460826483"
"original","gldm","SmallDependenceEmphasis","0.282971109075097"
"original","gldm","SmallDependenceHighGrayLevelEmphasis","144.50376079432837"
"original","gldm","SmallDependenceLowGrayLevelEmphasis","0.0019564118024617567"
"original","glrlm","GrayLevelNonUniformity","55.03783050843019"
"original","glrlm","GrayLevelNonUniformityNormalized","0.06501093219394107"
"original","glrlm","GrayLevelVariance","23.996321215779467"
"original","glrlm","HighGrayLevelRunEmphasis","528.3946705491201"
"original","glrlm","LongRunEmphasis","2.4709123476551937"
"original","glrlm","LongRunHighGrayLevelEmphasis","1366.8194387253764"
"original","glrlm","LongRunLowGrayLevelEmphasis","0.007189820364962572"
"original","glrlm","LowGrayLevelRunEmphasis","0.00412330059000648"
"original","glrlm","RunEntropy","5.1829040830416195"
"original","glrlm","RunLengthNonUniformity","516.6618928821368"
"original","glrlm","RunLengthNonUniformityNormalized","0.608503121633619"
"original","glrlm","RunPercentage","0.7371627502175804"
"original","glrlm","RunVariance","0.6223095572766593"
"original","glrlm","ShortRunEmphasis","0.8078208180963995"
"original","glrlm","ShortRunHighGrayLevelEmphasis","421.16404485810824"
"original","glrlm","ShortRunLowGrayLevelEmphasis","0.003702947076610681"
"original","glszm","GrayLevelNonUniformity","21.47978436657682"
"original","glszm","GrayLevelNonUniformityNormalized","0.05789699290182431"
"original","glszm","GrayLevelVariance","29.710769320188028"
"original","glszm","HighGrayLevelZoneEmphasis","516.3234501347708"
"original","glszm","LargeAreaEmphasis","43.7277628032345"
"original","glszm","LargeAreaHighGrayLevelEmphasis","24088.175202156333"
"original","glszm","LargeAreaLowGrayLevelEmphasis","0.09632425314299871"
"original","glszm","LowGrayLevelZoneEmphasis","0.006460130286903472"
"original","glszm","SizeZoneNonUniformity","133.63611859838275"
"original","glszm","SizeZoneNonUniformityNormalized","0.36020517142421227"
"original","glszm","SmallAreaEmphasis","0.6230900688134567"
"original","glszm","SmallAreaHighGrayLevelEmphasis","312.9762725123041"
"original","glszm","SmallAreaLowGrayLevelEmphasis","0.0054416582674266635"
"original","glszm","ZoneEntropy","6.15286663593696"
"original","glszm","ZonePercentage","0.3228894691035683"
"original","glszm","ZoneVariance","34.13613676157541"
"original","ngtdm","Busyness","0.08155408947262982"
"original","ngtdm","Coarseness","0.016734023091932386"
"original","ngtdm","Complexity","363.67309127675605"
"original","ngtdm","Contrast","0.04504613434939948"
"original","ngtdm","Strength","8.492983028720626"
